knob,fm_label,value,depth,seed,effective_rank,participation_ratio,spectral_entropy,concentration_index,rank_ratio,top5_energy,gap_ratio,power_law_exponent,rff_error,feature_map
freq_scale,high_dim,1.0,2,2,36.11279727486419,36.11279727486419,5.715914172178443,0.5485900340641976,1.0,0.27082821325618794,0.6399586796125276,0.9361481805354818,1.166796860614598,high_dim
freq_scale,high_dim,1.0,3,0,36.112797274864185,36.11279727486419,5.715914172178442,0.5485900340641977,1.0,0.27082821325618794,0.6399586796125277,0.9361481805354817,1.1852665475297248,high_dim
freq_scale,high_dim,1.0,3,1,36.112797274864185,36.11279727486419,5.715914172178442,0.5485900340641977,1.0,0.27082821325618794,0.6399586796125277,0.9361481805354817,1.3254359741780857,high_dim
freq_scale,high_dim,1.0,3,2,36.112797274864185,36.11279727486419,5.715914172178442,0.5485900340641977,1.0,0.27082821325618794,0.6399586796125277,0.9361481805354817,1.166796860614598,high_dim
freq_scale,high_dim,2.0,1,0,50.01121079143007,50.01121079143007,5.969660834616327,0.3748598651071242,1.0,0.20045285624666648,0.602766001237018,0.7187424011545703,1.4261953869231325,high_dim
freq_scale,high_dim,2.0,1,1,50.01121079143007,50.01121079143007,5.969660834616327,0.3748598651071242,1.0,0.20045285624666648,0.602766001237018,0.7187424011545703,1.688041568875042,high_dim
freq_scale,high_dim,2.0,1,2,50.01121079143007,50.01121079143007,5.969660834616327,0.3748598651071242,1.0,0.20045285624666648,0.602766001237018,0.7187424011545703,1.4194853300132093,high_dim
freq_scale,high_dim,2.0,2,0,50.01121079143005,50.011210791430074,5.969660834616326,0.3748598651071243,1.0,0.2004528562466665,0.6027660012370181,0.7187424011545704,1.4261953869231325,high_dim
freq_scale,high_dim,2.0,2,1,50.01121079143005,50.011210791430074,5.969660834616326,0.3748598651071243,1.0,0.2004528562466665,0.6027660012370181,0.7187424011545704,1.6880415688750425,high_dim
freq_scale,high_dim,2.0,2,2,50.01121079143005,50.011210791430074,5.969660834616326,0.3748598651071243,1.0,0.2004528562466665,0.6027660012370181,0.7187424011545704,1.4194853300132093,high_dim
freq_scale,high_dim,2.0,3,0,50.01121079143009,50.011210791430074,5.9696608346163265,0.3748598651071239,1.0,0.20045285624666645,0.6027660012370181,0.7187424011545707,1.4261953869231325,high_dim
freq_scale,high_dim,2.0,3,1,50.01121079143009,50.011210791430074,5.9696608346163265,0.3748598651071239,1.0,0.20045285624666645,0.6027660012370181,0.7187424011545707,1.688041568875042,high_dim
freq_scale,high_dim,2.0,3,2,50.01121079143009,50.011210791430074,5.9696608346163265,0.3748598651071239,1.0,0.20045285624666645,0.6027660012370181,0.7187424011545707,1.4194853300132093,high_dim
freq_scale,high_dim,4.0,1,0,55.97501429746345,55.97501429746347,6.050846174697858,0.3003123212817068,1.0,0.1749350508861555,0.5855774028646794,0.6333651423814294,1.560664369544956,high_dim
freq_scale,high_dim,4.0,1,1,55.97501429746345,55.97501429746347,6.050846174697858,0.3003123212817068,1.0,0.1749350508861555,0.5855774028646794,0.6333651423814294,1.8703152231909388,high_dim
