dataset,n_features,n_samples_total,fm,seed,acc_quantum,best_classical,quantum_advantage,rff_error,effective_rank,participation_ratio,spectral_entropy,concentration_index,rank_ratio,top5_energy,gap_ratio,power_law_exponent
iris,4,150,high_dim,1,0.8888888888888888,1.0,-0.11111111111111116,1.159924682582376,13.565213996560779,13.56521399656079,4.690545974021194,0.8708074857470403,0.9904761904761905,0.49840669869246024,0.6587759533086237,2.3700278137907884
iris,4,150,high_dim,2,0.9111111111111111,1.0,-0.0888888888888889,0.984061427431617,13.51728557221335,13.517285572213352,4.708050867476719,0.8712639469313015,0.9904761904761905,0.4984187796090883,0.661450053775447,2.3253854071019835
wine,8,178,angle,0,0.9074074074074074,1.0,-0.09259259259259256,0.8513564592387182,36.0456797655181,36.045679765518095,6.026021680430413,0.7093090341490476,1.0,0.2787656941432433,0.6772155186906056,1.1468692697516074
wine,8,178,angle,1,0.8148148148148148,1.0,-0.18518518518518523,0.8573481904883244,39.53188954900047,39.531889549000496,6.0593275285079375,0.6811944391209639,1.0,0.2683021839738421,0.6089601175076135,1.1480156345892054
wine,8,178,angle,2,0.8888888888888888,0.9814814814814815,-0.09259259259259267,0.8819789051499004,33.66516380198669,33.66516380198669,5.951016656940022,0.7285067435323654,1.0,0.2904814632337945,0.6549018921359497,1.2029451409600849
wine,8,178,iqp,0,0.7037037037037037,1.0,-0.2962962962962963,1.111102258570541,91.21309014557076,91.21309014557079,6.766197946664156,0.2644105633421713,1.0,0.12280545028414534,0.6440942642298773,0.4590091510252713
wine,8,178,iqp,1,0.5925925925925926,1.0,-0.40740740740740744,1.1493343005380423,93.55058751687801,93.55058751687801,6.778370657982961,0.24555977808969343,1.0,0.1178862546121604,0.6704228936804518,0.45011941847690523
wine,8,178,iqp,2,0.6666666666666666,0.9814814814814815,-0.3148148148148149,1.1155592460893617,86.43235573253645,86.43235573253644,6.7323434375252145,0.302964873124706,1.0,0.13456715399188024,0.6421511492472654,0.4991711199412017
wine,8,178,variational,0,0.7962962962962963,1.0,-0.20370370370370372,0.9055675551990738,40.365228573428304,40.36522857342832,6.213028766510428,0.6744739631175136,1.0,0.2537225416388996,0.707134336207518,0.9340112236790957
wine,8,178,variational,1,0.7407407407407407,1.0,-0.2592592592592593,0.934942924251396,43.388509648561524,43.38850964856152,6.245754485200979,0.6500926641245038,1.0,0.24637394061808596,0.646801540593671,0.9160279392664538
wine,8,178,variational,2,0.7407407407407407,0.9814814814814815,-0.2407407407407408,0.9363283384324793,36.75923549728088,36.759235497280876,6.135013196895693,0.7035545524412832,1.0,0.2673692717532692,0.6823421969192427,0.9764401863566777
wine,8,178,high_dim,0,0.6481481481481481,1.0,-0.35185185185185186,1.2605158422056946,120.04619386673599,120.04619386673596,6.931283206743546,0.03188553333277422,1.0,0.060965014913115345,0.5336496472169485,0.17584652425696431
wine,8,178,high_dim,1,0.6111111111111112,1.0,-0.38888888888888884,1.2878614425313226,120.06716157451652,120.06716157451658,6.931273735247898,0.03171643891518938,1.0,0.059934204544497625,0.5291700478185648,0.17616911657490159
wine,8,178,high_dim,2,0.6296296296296297,0.9814814814814815,-0.35185185185185186,1.2597003710106123,119.81878900229565,119.81878900229563,6.930088572355299,0.03371944352987388,1.0,0.06203009202688323,0.5334674710897886,0.18026897042427104
breast_cancer,8,569,angle,0,0.7368421052631579,0.9766081871345029,-0.23976608187134507,1.163322976112347,96.0347436731394,96.03474367313933,7.56488561314418,0.7587066741880919,1.0,0.1569947565825094,0.666788898709772,1.255833906295269
breast_cancer,8,569,angle,1,0.7485380116959064,0.9707602339181286,-0.2222222222222222,1.1822425273663353,103.7515142187694,103.75151421876942,7.637433314244373,0.7393178034704286,1.0,0.14934549788296528,0.6617288568194984,1.2068217908711318
breast_cancer,8,569,angle,2,0.7309941520467836,0.9649122807017544,-0.23391812865497075,1.2001930961009541,96.63519601983107,96.6351960198311,7.589306307792185,0.7571979999501732,1.0,0.15591303917909044,0.6760281937367885,1.2396546867458562
breast_cancer,8,569,iqp,0,0.6549707602339181,0.9766081871345029,-0.32163742690058483,1.7039343771019977,254.74575846899035,254.74575846899035,8.376833850174934,0.3599352802286675,1.0,0.06678083179420109,0.6941915377624077,0.5191381323127234
breast_cancer,8,569,iqp,1,0.6549707602339181,0.9707602339181286,-0.3157894736842105,1.7516186197449568,255.62560778879768,255.62560778879765,8.383035489211252,0.35772460354573443,1.0,0.06719507625709176,0.7003234449009696,0.509059628786374
breast_cancer,8,569,iqp,2,0.6374269005847953,0.9649122807017544,-0.32748538011695905,1.746864892378213,261.0427412104977,261.0427412104977,8.389380991598857,0.3441137155515134,1.0,0.06421003867700795,0.6926990335760655,0.5075046917725105
breast_cancer,8,569,variational,0,0.7076023391812866,0.9766081871345029,-0.26900584795321636,1.2452294384405895,111.09660105681924,111.09660105681924,7.825524056224387,0.7208628114150271,1.0,0.13934700247868642,0.7109916973099151,0.9484045190805113
breast_cancer,8,569,variational,1,0.7426900584795322,0.9707602339181286,-0.22807017543859642,1.267420132022726,116.22586209715901,116.22586209715904,7.858337570143857,0.7079752208614095,1.0,0.13647839628619138,0.6991826761027027,0.932703020230475
breast_cancer,8,569,variational,2,0.695906432748538,0.9649122807017544,-0.26900584795321636,1.2734246488990675,109.89601643613094,109.89601643613096,7.822695545559778,0.7238793556881132,1.0,0.14211394790576365,0.7052246637599202,0.9549420318723976
breast_cancer,8,569,high_dim,0,0.672514619883041,0.9766081871345029,-0.30409356725146197,2.0225605217518683,367.01378201095304,367.0137820109529,8.580544611303091,0.07785481906795721,1.0,0.026945125054680222,0.5746311526990862,0.26176749490752077
breast_cancer,8,569,high_dim,1,0.6900584795321637,0.9707602339181286,-0.2807017543859649,2.0583199623761432,367.61136731882556,367.61136731882544,8.581894184386993,0.07635334844516195,1.0,0.02693025640196471,0.5729158621851408,0.25841965107599746
breast_cancer,8,569,high_dim,2,0.6198830409356725,0.9649122807017544,-0.3450292397660819,2.0336806578634095,366.71250173121024,366.7125017312104,8.580235792840806,0.0786118046954517,1.0,0.027331046526823527,0.5701081208989331,0.26231154645600363
digits,8,357,angle,0,0.7870370370370371,1.0,-0.2129629629629629,1.3991326768899142,176.89683046077886,176.8968304607789,7.70832521401792,0.2895709620049042,1.0,0.0729645461921032,0.5572000965968462,0.5701065863881771
digits,8,357,angle,1,0.6944444444444444,0.9722222222222222,-0.2777777777777778,1.405666272958676,178.6255469036073,178.62554690360733,7.71597057487993,0.2826283256883241,1.0,0.07178175696840738,0.5688485172304523,0.5605467232495097
digits,8,357,angle,2,0.7777777777777778,0.9814814814814815,-0.20370370370370372,1.4081655040167242,177.28565260924992,177.28565260924995,7.70918463537234,0.28800942727208867,1.0,0.07150613664219176,0.5710800158257554,0.5700476921071396
digits,8,357,iqp,0,0.6111111111111112,1.0,-0.38888888888888884,1.5671063093521198,240.74418916212787,240.7441891621279,7.937716980609605,0.03315586681876359,1.0,0.03435491432759372,0.6193028137514373,0.1616650095596978
digits,8,357,iqp,1,0.5,0.9722222222222222,-0.4722222222222222,1.5773677184755408,239.52923072235362,239.52923072235362,7.934461872091475,0.038035217982515634,1.0,0.035960998726756184,0.6048484206028741,0.1717191782415753
digits,8,357,iqp,2,0.6481481481481481,0.9814814814814815,-0.33333333333333337,1.5740011957086608,238.9787059529384,238.97870595293838,7.933005294689471,0.04024616083157262,1.0,0.036262735331542784,0.6184070380209504,0.1767283337582399
digits,8,357,variational,0,0.8055555555555556,1.0,-0.19444444444444442,1.4420059938871634,190.8832362515207,190.8832362515208,7.786372218544991,0.23340065762441475,1.0,0.07133156730581958,0.5773347647731056,0.44654239984813915
digits,8,357,variational,1,0.6388888888888888,0.9722222222222222,-0.33333333333333337,1.4445525272847257,189.40383286822652,189.4038328682265,7.781762140017807,0.23934203667378906,1.0,0.07176295741113413,0.5939518237527059,0.4518786079395887
digits,8,357,variational,2,0.7314814814814815,0.9814814814814815,-0.25,1.4454823269421022,186.94398734257473,186.94398734257476,7.77542239638793,0.24922093436716974,1.0,0.07467659867235066,0.5896542847423778,0.4569107922622433
digits,8,357,high_dim,0,0.7129629629629629,1.0,-0.2870370370370371,1.562912409759257,236.87979222693778,236.87979222693775,7.924807367227935,0.0486755332251495,1.0,0.03509276985070509,0.541998675337629,0.2114072194414812
digits,8,357,high_dim,1,0.6296296296296297,0.9722222222222222,-0.34259259259259256,1.5758512371722808,237.56642902639382,237.56642902639382,7.927004650414638,0.045917955717293846,1.0,0.03477728158318425,0.5417493964438722,0.20538829775998205
digits,8,357,high_dim,2,0.7037037037037037,0.9814814814814815,-0.2777777777777778,1.5739456285499807,237.66970883702666,237.6697088370267,7.927326534046218,0.04550317736133869,1.0,0.034889765996646414,0.5439561168681949,0.20439928213753186
