fm,n_qubits,depth,seed,acc_quantum,acc_rbf,acc_rff,acc_linear,best_classical,quantum_advantage,effective_rank,participation_ratio,spectral_entropy,concentration_index,rank_ratio,top5_energy,gap_ratio,power_law_exponent
angle,4,3,3,0.6333333333333333,0.6333333333333333,0.7,0.5666666666666667,0.7,-0.06666666666666665,9.851709782339125,9.851709782339121,4.084076812147135,0.8592612888237268,1.0,0.5741069107900315,0.6990151057728942,3.478374451541734
angle,4,3,4,0.6,0.7,0.7333333333333333,0.7,0.7333333333333333,-0.1333333333333333,9.891384108837771,9.89138410883777,4.052903399452278,0.8586945127308889,1.0,0.585019871928221,0.7010090753510909,3.6259643130901376
angle,4,3,5,0.5666666666666667,0.6333333333333333,0.5333333333333333,0.6,0.6333333333333333,-0.06666666666666665,8.54402691691441,8.544026916914406,3.9454826293719765,0.8779424726155084,1.0,0.620999909408555,0.7124740920062073,3.6914611304208274
iqp,4,1,0,0.7333333333333333,0.7,0.8,0.7,0.8,-0.06666666666666676,16.823983223838294,16.82398322383829,4.916161244014296,0.7596573825165958,1.0,0.41386701720680125,0.7308997526850411,1.7452461269932287
iqp,4,1,1,0.6,0.7333333333333333,0.7333333333333333,0.7,0.7333333333333333,-0.1333333333333333,11.314167376894686,11.314167376894687,4.482506544253468,0.8383690374729331,1.0,0.5093522246529391,0.7693955651537705,2.0902277592234166
iqp,4,1,2,0.6333333333333333,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,-0.033333333333333326,17.133607417554703,17.1336074175547,4.904826827866856,0.7552341797492186,1.0,0.41696505989400057,0.710872810760931,1.7177576281274236
iqp,4,1,3,0.6666666666666666,0.6333333333333333,0.7,0.5666666666666667,0.7,-0.033333333333333326,16.275522231906287,16.2755222319063,4.872169554461707,0.7674925395441959,1.0,0.41912809563662745,0.7213963974007477,1.777551275163956
iqp,4,1,4,0.6,0.7,0.7333333333333333,0.7,0.7333333333333333,-0.1333333333333333,14.939935421042158,14.939935421042154,4.79675037493974,0.7865723511279692,1.0,0.43385104628823756,0.7538675090569992,1.8490533049192126
iqp,4,1,5,0.6,0.6333333333333333,0.5333333333333333,0.6,0.6333333333333333,-0.033333333333333326,14.24960114655934,14.249601146559337,4.748245507111621,0.7964342693348665,1.0,0.45279254905213095,0.7144080068048728,1.9066186227186326
iqp,4,2,0,0.4666666666666667,0.7,0.8,0.7,0.8,-0.33333333333333337,19.833237656721646,19.83323765672164,5.084742329462336,0.716668033475405,1.0,0.37350552366403467,0.7328160326198956,1.5412965161258216
iqp,4,2,1,0.5666666666666667,0.7333333333333333,0.7333333333333333,0.7,0.7333333333333333,-0.16666666666666663,16.448248481951417,16.448248481951428,4.870857627720748,0.7650250216864083,1.0,0.4214478434102521,0.6734319354547234,1.7749837603610361
iqp,4,2,2,0.6,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,-0.06666666666666665,20.27355048453052,20.273550484530524,5.041935199889382,0.7103778502209925,1.0,0.3888407126002513,0.6439870660373967,1.6923678783312412
iqp,4,2,3,0.7,0.6333333333333333,0.7,0.5666666666666667,0.7,0.0,18.054322441498407,18.054322441498414,4.978085482772109,0.7420811079785942,1.0,0.3962663713693954,0.6898726858906736,1.6347141155098737
iqp,4,2,4,0.7,0.7,0.7333333333333333,0.7,0.7333333333333333,-0.033333333333333326,18.99460407375784,18.99460407375784,4.972229174961472,0.7286485132320308,1.0,0.3953386909000806,0.6992115614878514,1.7016188904286422
iqp,4,2,5,0.6333333333333333,0.6333333333333333,0.5333333333333333,0.6,0.6333333333333333,0.0,16.024541331281792,16.024541331281792,4.888207647893345,0.7710779809816887,1.0,0.41169694201434853,0.7287905834622919,1.7830203391110524
iqp,4,3,0,0.5,0.7,0.8,0.7,0.8,-0.30000000000000004,25.110851665924336,25.11085166592434,5.294384230577134,0.6412735476296523,1.0,0.326331811914415,0.7095445704632813,1.275504466674474
iqp,4,3,1,0.4666666666666667,0.7333333333333333,0.7333333333333333,0.7,0.7333333333333333,-0.2666666666666666,20.988345658163162,20.988345658163173,5.143866964331107,0.7001664905976691,1.0,0.36473442796885003,0.6913357709778091,1.4435702478505552
iqp,4,3,2,0.4666666666666667,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,-0.19999999999999996,22.34481026295567,22.34481026295567,5.175600254248334,0.680788424814919,1.0,0.3588393493691731,0.6910158589196242,1.424312288585596
iqp,4,3,3,0.5666666666666667,0.6333333333333333,0.7,0.5666666666666667,0.7,-0.1333333333333333,21.597657232165364,21.59765723216536,5.172861805157337,0.6914620395404948,1.0,0.36196876853168586,0.6621661000421618,1.399560673231865
iqp,4,3,4,0.6666666666666666,0.7,0.7333333333333333,0.7,0.7333333333333333,-0.06666666666666665,20.77125940101183,20.771259401011804,5.12924768953845,0.7032677228426882,1.0,0.36968380695214137,0.7081699141407126,1.4575614387460503
iqp,4,3,5,0.6333333333333333,0.6333333333333333,0.5333333333333333,0.6,0.6333333333333333,0.0,20.700324719899356,20.70032471989937,5.113751585846235,0.7042810754300092,1.0,0.3705093570921496,0.6993684623925587,1.4716172145037025
variational,4,1,0,0.7333333333333333,0.7,0.8,0.7,0.8,-0.06666666666666676,8.287201374995453,8.28720137499545,4.074090817200055,0.8816114089286364,1.0,0.569252874987011,0.7816614750924497,2.719532517680947
variational,4,1,1,0.6666666666666666,0.7333333333333333,0.7333333333333333,0.7,0.7333333333333333,-0.06666666666666665,6.386947897232105,6.386947897232104,3.70590604217485,0.9087578871823985,1.0,0.6407486373430216,0.7875364943710231,3.125889145958414
variational,4,1,2,0.4666666666666667,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,-0.19999999999999996,8.899771024914173,8.899771024914175,4.080051513675221,0.8728604139297975,1.0,0.5657989889358095,0.7772521930348388,2.650054282089017
variational,4,1,3,0.6,0.6333333333333333,0.7,0.5666666666666667,0.7,-0.09999999999999998,8.836806704572965,8.83680670457296,4.104865665432566,0.8737599042203862,1.0,0.5621586763327515,0.7772583278772015,2.597270148357643
variational,4,1,4,0.7333333333333333,0.7,0.7333333333333333,0.7,0.7333333333333333,0.0,9.119797936160934,9.11979793616094,4.091715306560933,0.8697171723405581,1.0,0.563131654723125,0.769476300905638,2.7402565898148756
variational,4,1,5,0.5666666666666667,0.6333333333333333,0.5333333333333333,0.6,0.6333333333333333,-0.06666666666666665,7.767413740577761,7.7674137405777675,3.9889738160809465,0.8890369465631749,1.0,0.5801730773351668,0.7931831892979918,2.769702715907805
variational,4,2,0,0.5,0.7,0.8,0.7,0.8,-0.30000000000000004,6.668143041204124,6.668143041204122,3.9692023617669436,0.9047408136970839,1.0,0.5953578701639812,0.8263741693252431,2.2535041833397758
variational,4,2,1,0.5,0.7333333333333333,0.7333333333333333,0.7,0.7333333333333333,-0.23333333333333328,5.029708429353121,5.02970842935312,3.5785608329946967,0.9281470224378126,1.0,0.6642800773571494,0.8488433654710684,2.5493922114755043
variational,4,2,2,0.3,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,-0.36666666666666664,7.879735797832306,7.879735797832304,4.076449090054257,0.8874323457452528,1.0,0.584025297910381,0.7910654891281692,2.196454196632832
variational,4,2,3,0.5666666666666667,0.6333333333333333,0.7,0.5666666666666667,0.7,-0.1333333333333333,7.76911969123139,7.769119691231389,4.066336955059155,0.8890125758395515,1.0,0.5732737194942236,0.8070963527295674,2.2484415168807597
variational,4,2,4,0.7,0.7,0.7333333333333333,0.7,0.7333333333333333,-0.033333333333333326,7.719346772611993,7.719346772611986,4.077584915717876,0.8897236175341143,1.0,0.5782465321553474,0.8152028307636272,2.2676894160808794
variational,4,2,5,0.5,0.6333333333333333,0.5333333333333333,0.6,0.6333333333333333,-0.1333333333333333,6.573694440295458,6.573694440295455,3.899169709349023,0.9060900794243506,1.0,0.6057007873342691,0.8372497446069129,2.389973730335137
variational,4,3,0,0.5666666666666667,0.7,0.8,0.7,0.8,-0.2333333333333334,10.126412884066673,10.12641288406668,4.453093249136441,0.8553369587990476,1.0,0.5054073445781838,0.7988742929185315,1.945398198131338
variational,4,3,1,0.4666666666666667,0.7333333333333333,0.7333333333333333,0.7,0.7333333333333333,-0.2666666666666666,7.26084259961752,7.26084259961752,4.0270429663957,0.8962736771483212,1.0,0.5708958151372724,0.8229385674337849,2.2665007547780807
variational,4,3,2,0.3,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,-0.36666666666666664,11.77972330155918,11.779723301559173,4.545476519685084,0.8317182385491546,1.0,0.47266430333619047,0.7938120271765104,1.9387770050340953
variational,4,3,3,0.5333333333333333,0.6333333333333333,0.7,0.5666666666666667,0.7,-0.16666666666666663,10.66873647824029,10.66873647824029,4.440092231974709,0.8475894788822815,1.0,0.5042081620637517,0.7680216425566624,1.9771987795963109
variational,4,3,4,0.6333333333333333,0.7,0.7333333333333333,0.7,0.7333333333333333,-0.09999999999999998,11.34612294010905,11.346122940109048,4.471675181229342,0.8379125294270136,1.0,0.48660333019728896,0.7808585870907626,1.9905489567936203
variational,4,3,5,0.5666666666666667,0.6333333333333333,0.5333333333333333,0.6,0.6333333333333333,-0.06666666666666665,9.691089285571836,9.691089285571834,4.340981328062276,0.8615558673489738,1.0,0.5213684347809511,0.8024436811654454,2.028661076664751
high_dim,4,1,0,0.9,0.7,0.8,0.7,0.8,0.09999999999999998,24.67386571930482,24.67386571930485,5.243151552755406,0.6475162040099312,1.0,0.34963583316134766,0.6162287502616278,1.2336947521904893
high_dim,4,1,1,0.7,0.7333333333333333,0.7333333333333333,0.7,0.7333333333333333,-0.033333333333333326,23.807169421286503,23.80716942128651,5.180893824603824,0.6598975796959071,1.0,0.3591058268353614,0.6186649447547401,1.340286758187834
high_dim,4,1,2,0.7666666666666667,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.10000000000000009,25.41320255080333,25.413202550803344,5.2559674541056145,0.6369542492742382,1.0,0.3454806845946573,0.6331908806998995,1.26558390002389
high_dim,4,1,3,0.7666666666666667,0.6333333333333333,0.7,0.5666666666666667,0.7,0.06666666666666676,27.920658182886452,27.920658182886463,5.363426854527924,0.6011334545301936,1.0,0.3177675149959421,0.617502136565803,1.1550889021752246
high_dim,4,1,4,0.6333333333333333,0.7,0.7333333333333333,0.7,0.7333333333333333,-0.09999999999999998,26.874494404831424,26.87449440483143,5.308417755099996,0.6160786513595511,1.0,0.3315267125698563,0.6221199558844458,1.2373181988292814
high_dim,4,1,5,0.7333333333333333,0.6333333333333333,0.5333333333333333,0.6,0.6333333333333333,0.09999999999999998,25.6149398104438,25.614939810443808,5.277900551899201,0.6340722884222314,1.0,0.3404361895397398,0.6214530197865342,1.2061078499524474
high_dim,4,2,0,0.9,0.7,0.8,0.7,0.8,0.09999999999999998,24.673865719304825,24.673865719304843,5.243151552755406,0.6475162040099312,1.0,0.3496358331613477,0.6162287502616278,1.2336947521904897
high_dim,4,2,1,0.7,0.7333333333333333,0.7333333333333333,0.7,0.7333333333333333,-0.033333333333333326,23.807169421286492,23.80716942128651,5.180893824603823,0.6598975796959072,1.0,0.3591058268353615,0.6186649447547401,1.3402867581878328
high_dim,4,2,2,0.7666666666666667,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.10000000000000009,25.413202550803337,25.41320255080336,5.255967454105615,0.636954249274238,1.0,0.3454806845946572,0.6331908806998999,1.2655839000238893
high_dim,4,2,3,0.7666666666666667,0.6333333333333333,0.7,0.5666666666666667,0.7,0.06666666666666676,27.920658182886456,27.92065818288647,5.363426854527924,0.6011334545301935,1.0,0.3177675149959421,0.6175021365658029,1.155088902175225
high_dim,4,2,4,0.6333333333333333,0.7,0.7333333333333333,0.7,0.7333333333333333,-0.09999999999999998,26.874494404831424,26.874494404831434,5.308417755099995,0.6160786513595511,1.0,0.3315267125698563,0.6221199558844457,1.2373181988292805
high_dim,4,2,5,0.7333333333333333,0.6333333333333333,0.5333333333333333,0.6,0.6333333333333333,0.09999999999999998,25.614939810443804,25.61493981044382,5.277900551899201,0.6340722884222314,1.0,0.3404361895397398,0.6214530197865347,1.2061078499524471
high_dim,4,3,0,0.9,0.7,0.8,0.7,0.8,0.09999999999999998,24.67386571930484,24.67386571930485,5.243151552755408,0.6475162040099309,1.0,0.34963583316134766,0.6162287502616276,1.23369475219049
high_dim,4,3,1,0.7,0.7333333333333333,0.7333333333333333,0.7,0.7333333333333333,-0.033333333333333326,23.80716942128651,23.807169421286527,5.180893824603824,0.659897579695907,1.0,0.35910582683536135,0.6186649447547398,1.3402867581878344
high_dim,4,3,2,0.7666666666666667,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.10000000000000009,25.41320255080333,25.41320255080335,5.2559674541056145,0.6369542492742382,1.0,0.3454806845946572,0.6331908806998995,1.26558390002389
high_dim,4,3,3,0.7666666666666667,0.6333333333333333,0.7,0.5666666666666667,0.7,0.06666666666666676,27.92065818288644,27.920658182886438,5.363426854527924,0.6011334545301936,1.0,0.31776751499594225,0.6175021365658031,1.1550889021752258
high_dim,4,3,4,0.6333333333333333,0.7,0.7333333333333333,0.7,0.7333333333333333,-0.09999999999999998,26.874494404831417,26.87449440483143,5.3084177550999945,0.6160786513595512,1.0,0.33152671256985633,0.6221199558844457,1.2373181988292805
high_dim,4,3,5,0.7333333333333333,0.6333333333333333,0.5333333333333333,0.6,0.6333333333333333,0.09999999999999998,25.614939810443808,25.61493981044382,5.277900551899202,0.6340722884222314,1.0,0.34043618953973975,0.6214530197865341,1.2061078499524465
