config,fm,data_dist,seed,pca_eff_dim,effective_rank,participation_ratio,spectral_entropy,concentration_index,rank_ratio,top5_energy,gap_ratio,power_law_exponent
var_d2_e1,variational,heavy_tail,2,5,6.56864778618144,6.568647786181442,4.209986647008912,0.9343135221381856,1.0,0.5529991508672811,0.8791218703925854,2.240875552381809
var_d2_e1,variational,real_breast,2,5,9.174302863421417,9.174302863421415,4.586687649416711,0.9082569713657859,1.0,0.509097498024816,0.8263589631796013,2.067776248971264
var_d2_e1,variational,gaussian,3,5,12.908746565899587,12.908746565899587,4.952885640801749,0.8709125343410041,1.0,0.4358399107963985,0.8124814582582935,1.7079564804469065
var_d2_e1,variational,clusters,3,4,9.205104688334757,9.205104688334757,4.106207730900771,0.9079489531166525,1.0,0.6027194674980726,0.6788081102636999,2.480795310655242
var_d2_e1,variational,periodic,3,5,9.594856737818649,9.594856737818652,4.168020142233087,0.9040514326218135,1.0,0.5804490266225991,0.7226834768806926,2.5144147396869627
var_d2_e1,variational,uniform,3,5,14.621714501279712,14.62171450127971,4.97005190550033,0.8537828549872029,1.0,0.4403487329658976,0.7436724802361155,1.620378130442603
var_d2_e1,variational,heavy_tail,3,5,8.141383870699505,8.141383870699501,4.435357687531022,0.918586161293005,1.0,0.5153090143873003,0.8608553623088163,2.118986543914663
var_d2_e1,variational,real_breast,3,5,8.232147095866162,8.23214709586616,4.464307065075651,0.9176785290413384,1.0,0.5384851258303632,0.8284185943084593,2.0530519791323454
highd_d2_f15,high_dim,gaussian,0,5,55.007418091547386,55.00741809154736,6.192023836212192,0.4499258190845261,1.0,0.1928531817858251,0.6232877706506839,0.7995120411851181
highd_d2_f15,high_dim,clusters,0,3,32.79819537243234,32.79819537243234,5.702798852375374,0.6720180462756766,1.0,0.29739879401909425,0.5708091028653071,1.2390892276846275
highd_d2_f15,high_dim,periodic,0,5,43.49711705703981,43.49711705703982,5.9759958579634365,0.565028829429602,1.0,0.23921885001306653,0.6046489439568455,1.021940737287756
highd_d2_f15,high_dim,uniform,0,5,54.5625723461342,54.562572346134196,6.185940794020195,0.4543742765386579,1.0,0.19484809327615696,0.6008299844016532,0.8038244570824338
highd_d2_f15,high_dim,heavy_tail,0,5,49.50778866948155,49.507788669481556,6.109868189954485,0.5049221133051844,1.0,0.21710009811547878,0.6117747715577091,0.87057962566173
highd_d2_f15,high_dim,real_breast,0,5,54.02032505075474,54.02032505075474,6.176985950910318,0.45979674949245253,1.0,0.1991819792958404,0.6144647595720575,0.817938675337323
highd_d2_f15,high_dim,gaussian,1,5,55.83413238077287,55.83413238077288,6.2090143524161245,0.4416586761922713,1.0,0.19473805243714196,0.60406477923012,0.781163513529732
highd_d2_f15,high_dim,clusters,1,4,29.133415991862474,29.133415991862467,5.594686892342437,0.7086658400813752,1.0,0.3203754378551277,0.59393852327526,1.3183490412369074
highd_d2_f15,high_dim,periodic,1,5,41.54050201452808,41.54050201452808,5.937884224934555,0.5845949798547192,1.0,0.24308859305667344,0.6376253605304902,1.046513324095918
highd_d2_f15,high_dim,uniform,1,5,54.81195065517346,54.81195065517347,6.189136652827797,0.4518804934482654,1.0,0.19547144481475234,0.5901834565755879,0.7941794278427036
highd_d2_f15,high_dim,heavy_tail,1,5,46.0474120983038,46.04741209830378,6.058346787271283,0.5395258790169619,1.0,0.22789376403126663,0.6417981083443292,0.9138480192849489
highd_d2_f15,high_dim,real_breast,1,5,48.28586080155384,48.28586080155383,6.096036219169605,0.5171413919844616,1.0,0.22283277082521977,0.6045517133949706,0.8803218814669808
highd_d2_f15,high_dim,gaussian,2,5,55.086192163377675,55.086192163377696,6.195269079062845,0.4491380783662232,1.0,0.19444754936846625,0.6028054570130208,0.7927772233412709
highd_d2_f15,high_dim,clusters,2,4,40.7027962090501,40.702796209050106,5.920154717790069,0.5929720379094989,1.0,0.25456996990412034,0.5984290746591902,1.050407690726785
highd_d2_f15,high_dim,periodic,2,5,44.08509097390528,44.085090973905295,5.9889894468844505,0.5591490902609472,1.0,0.23667004727748292,0.610211656685001,0.9846643329589129
highd_d2_f15,high_dim,uniform,2,5,53.307804743199355,53.30780474319938,6.162002513639486,0.4669219525680064,1.0,0.19662805766099428,0.579915199008426,0.8292268580161087
highd_d2_f15,high_dim,heavy_tail,2,5,46.30843056855618,46.30843056855615,6.05046125316179,0.5369156943144382,1.0,0.22998048988148437,0.5955495585491047,0.9145831796335213
