fm,n_qubits,depth,n_samples,n_features,seed,rff_error,nystrom_error,effective_rank,participation_ratio,spectral_entropy,concentration_index,rank_ratio,top5_energy,gap_ratio,power_law_exponent
variational,4,3,40,4,0,0.42684282294357523,0.036830878345014195,1.963716322954668,1.9637163229546675,1.8905328788654767,0.9509070919261333,1.0,0.8822611158556317,0.9080600231216712,3.0613981844760954
variational,4,3,40,4,1,0.297152530607475,0.020725789566860477,1.7368947170533244,1.7368947170533244,1.6526651636932872,0.9565776320736669,1.0,0.9009439394882381,0.9260738580044814,3.234815021948724
variational,4,3,40,4,2,0.5027971484893771,0.036872047389030355,1.8884056735537804,1.8884056735537802,1.8116813063277726,0.9527898581611555,1.0,0.8997651154022989,0.9213932271614997,3.1215861864859966
variational,4,3,40,4,3,0.49698423717225804,0.04120850230097493,2.205256093036947,2.2052560930369465,2.1182340017614174,0.9448685976740763,1.0,0.8702485570505415,0.9159163857622823,2.977018595742093
high_dim,4,1,40,4,0,1.6173227537492272,0.3633584576931734,12.469767704877324,12.469767704877325,4.262814610519391,0.6882558073780669,1.0,0.5341561572365365,0.6203241304091593,1.53792979100254
high_dim,4,1,40,4,1,1.573857298313738,0.3349183776693028,10.734655104859659,10.734655104859655,4.17326817918229,0.7316336223785085,1.0,0.5685067471713081,0.6649915022240671,1.4718069193580086
high_dim,4,1,40,4,2,1.392617965851611,0.40429149349650134,12.956980331666623,12.956980331666625,4.37791291488704,0.6760754917083345,1.0,0.5014687267134423,0.6427748399967671,1.3195045090549937
high_dim,4,1,40,4,3,1.1675174948972697,0.3758345020527091,12.48154715184188,12.48154715184188,4.32558521107349,0.687961321203953,1.0,0.5120120204668588,0.656377143601271,1.4124572579096166
high_dim,4,2,40,4,0,1.6173227537492272,0.36335845769317354,12.46976770487732,12.469767704877322,4.26281461051939,0.688255807378067,1.0,0.5341561572365364,0.6203241304091598,1.5379297910025411
high_dim,4,2,40,4,1,1.573857298313738,0.33491837766930266,10.734655104859668,10.73465510485967,4.1732681791822905,0.7316336223785083,1.0,0.5685067471713079,0.664991502224067,1.4718069193580074
high_dim,4,2,40,4,2,1.392617965851611,0.40429149349650123,12.956980331666626,12.956980331666625,4.377912914887041,0.6760754917083344,1.0,0.5014687267134423,0.6427748399967669,1.3195045090549935
high_dim,4,2,40,4,3,1.1675174948972697,0.3758345020527091,12.481547151841879,12.481547151841879,4.325585211073489,0.687961321203953,1.0,0.5120120204668588,0.6563771436012713,1.4124572579096173
high_dim,4,3,40,4,0,1.6173227537492272,0.36335845769317354,12.469767704877324,12.469767704877325,4.262814610519389,0.6882558073780669,1.0,0.5341561572365364,0.6203241304091596,1.5379297910025418
high_dim,4,3,40,4,1,1.573857298313738,0.3349183776693028,10.73465510485966,10.73465510485966,4.17326817918229,0.7316336223785085,1.0,0.568506747171308,0.6649915022240677,1.4718069193580074
high_dim,4,3,40,4,2,1.392617965851611,0.40429149349650123,12.956980331666632,12.956980331666625,4.377912914887041,0.6760754917083343,1.0,0.5014687267134421,0.6427748399967677,1.319504509054994
high_dim,4,3,40,4,3,1.1675174948972697,0.3758345020527091,12.481547151841877,12.481547151841877,4.325585211073489,0.687961321203953,1.0,0.5120120204668588,0.6563771436012712,1.412457257909618
variational_ent0.0,4,2,40,4,0,0.44418675417203374,0.023743137708250678,1.7630801816917292,1.7630801816917299,1.6658365102881088,0.9559229954577068,1.0,0.906459762433543,0.941441026914978,3.1662781791335974
variational_ent0.0,4,2,40,4,1,0.27833965235510766,0.0266510988375323,1.6974194265683842,1.6974194265683848,1.586845495573323,0.9575645143357904,1.0,0.9090246072526444,0.9450263552533373,3.3462393235388705
variational_ent0.0,4,2,40,4,2,0.49852428819937383,0.02140596422770653,1.7507372618319832,1.7507372618319836,1.6455007408645341,0.9562315684542004,1.0,0.9102395467607693,0.9410497220639534,3.1814072872867314
variational_ent0.0,4,2,40,4,3,0.5247088652908881,0.026341319083190685,1.9385020776209068,1.9385020776209074,1.8376307177250397,0.9515374480594774,1.0,0.8986942907104846,0.9132234552662789,3.081795752171435
variational_ent0.3,4,2,40,4,0,0.44418675417203385,0.023743137708251285,1.763080181691729,1.7630801816917292,1.665836510288109,0.9559229954577068,1.0,0.906459762433543,0.941441026914978,3.166278179133505
variational_ent0.3,4,2,40,4,1,0.27833965235510766,0.026651098837540434,1.6974194265683844,1.6974194265683833,1.5868454955733213,0.9575645143357904,1.0,0.9090246072526448,0.9450263552533373,3.3462393235389727
variational_ent0.3,4,2,40,4,2,0.4985242881993737,0.0214059642277049,1.7507372618319836,1.750737261831984,1.6455007408645346,0.9562315684542004,1.0,0.9102395467607693,0.9410497220639533,3.1814072872856607
variational_ent0.3,4,2,40,4,3,0.5247088652908881,0.026341319083190016,1.9385020776209063,1.9385020776209065,1.837630717725039,0.9515374480594774,1.0,0.8986942907104848,0.9132234552662788,3.0817957521719714
variational_ent0.6,4,2,40,4,0,0.44418675417203374,0.023743137708252093,1.7630801816917296,1.76308018169173,1.66583651028811,0.9559229954577068,1.0,0.906459762433543,0.941441026914978,3.1662781791335637
variational_ent0.6,4,2,40,4,1,0.27833965235510766,0.026651098837539387,1.6974194265683853,1.6974194265683848,1.5868454955733229,0.9575645143357904,1.0,0.9090246072526442,0.9450263552533374,3.346239323538265
variational_ent0.6,4,2,40,4,2,0.4985242881993738,0.02140596422770359,1.7507372618319836,1.7507372618319836,1.6455007408645361,0.9562315684542004,1.0,0.9102395467607693,0.9410497220639533,3.181407287285411
variational_ent0.6,4,2,40,4,3,0.5247088652908881,0.026341319083190963,1.938502077620906,1.9385020776209065,1.8376307177250384,0.9515374480594774,1.0,0.8986942907104849,0.9132234552662788,3.08179575217169
variational_ent1.0,4,2,40,4,0,0.4431186844017668,0.03010049335892291,1.8225433822131358,1.822543382213136,1.7340752625377909,0.9544364154446716,1.0,0.9040992575024267,0.9268188433486858,3.2611025448314783
variational_ent1.0,4,2,40,4,1,0.26987127748853595,0.0215421633811074,1.755280279443145,1.755280279443145,1.6506802637077098,0.9561179930139214,1.0,0.9107413006820124,0.9322013740987105,3.5355908205527737
variational_ent1.0,4,2,40,4,2,0.4986401357355921,0.029367932851302583,1.785553790242898,1.7855537902428982,1.6821379749924454,0.9553611552439275,1.0,0.9071977927097493,0.9344742022919411,3.3545146802867043
variational_ent1.0,4,2,40,4,3,0.5053146684459939,0.028098214320293895,2.0597205294590677,2.0597205294590677,1.9606601364008367,0.9485069867635233,1.0,0.8905756529496472,0.9219204248418373,3.2064097505667153
