task,seed,variant,adv,best_classical,rank_q,rank_rbf,ent_rbf,M1,adv_resid
periodic_coupled,0,highd_d2_f15,0.0,0.4722222222222222,46.2723404487568,21.708089175637376,5.346786551886293,2.1315713269082877,8.18723985431842
periodic_coupled,0,highd_d2_f30,-0.0833333333333333,0.4722222222222222,56.56777394518012,21.708089175637376,5.346786551886293,2.605838472815248,-79.81276014568158
periodic_coupled,0,highd_d3_f15,0.0,0.4722222222222222,46.27234044875682,21.708089175637376,5.346786551886293,2.1315713269082885,8.18723985431842
periodic_coupled,1,angle_d1,0.0833333333333333,0.5,8.376931730667835,15.394748688373053,4.95990430946517,0.5441421552398934,49.949791883454736
periodic_coupled,1,angle_d2,0.0833333333333333,0.5,8.376931730667835,15.394748688373053,4.95990430946517,0.5441421552398934,49.949791883454736
periodic_coupled,1,angle_d3,0.0833333333333333,0.5,8.376931730667835,15.394748688373053,4.95990430946517,0.5441421552398934,49.949791883454736
periodic_coupled,1,iqp_d1,-0.0833333333333333,0.5,14.15114790801956,15.394748688373053,4.95990430946517,0.919219156770469,-68.05020811654526
periodic_coupled,1,iqp_d2,-0.1111111111111111,0.5,18.848132105526247,15.394748688373053,4.95990430946517,1.2243221690108768,-80.55020811654526
periodic_coupled,1,iqp_d3,-0.0833333333333333,0.5,21.49844435949962,15.394748688373053,4.95990430946517,1.3964790718367757,-68.05020811654526
periodic_coupled,1,var_d2_e1,-0.1388888888888889,0.5,6.372303509516961,15.394748688373053,4.95990430946517,0.41392708893842933,-91.55020811654526
periodic_coupled,1,var_d2_e03,-0.0833333333333333,0.5,4.731166044432187,15.394748688373053,4.95990430946517,0.3073233698193085,-68.05020811654526
periodic_coupled,1,var_d3_e1,0.0,0.5,9.149606449879576,15.394748688373053,4.95990430946517,0.5943329530796339,19.949791883454736
periodic_coupled,1,highd_d2_f15,0.0833333333333333,0.5,45.81459210989021,15.394748688373053,4.95990430946517,2.9759883085647165,49.949791883454736
periodic_coupled,1,highd_d2_f30,-0.0277777777777777,0.5,55.39190845632388,15.394748688373053,4.95990430946517,3.5981041053407288,-5.050208116545264
periodic_coupled,1,highd_d3_f15,0.0833333333333333,0.5,45.8145921098902,15.394748688373053,4.95990430946517,2.975988308564716,49.949791883454736
periodic_coupled,2,angle_d1,-0.0555555555555555,0.5833333333333334,9.656870695028545,22.20797377885929,5.364013656190617,0.4348379906779847,-10.60425338189387
periodic_coupled,2,angle_d2,-0.0555555555555555,0.5833333333333334,9.656870695028545,22.20797377885929,5.364013656190617,0.4348379906779847,-10.60425338189387
periodic_coupled,2,angle_d3,-0.0555555555555555,0.5833333333333334,9.656870695028545,22.20797377885929,5.364013656190617,0.4348379906779847,-10.60425338189387
periodic_coupled,2,iqp_d1,-0.0833333333333333,0.5833333333333334,15.628055191891958,22.20797377885929,5.364013656190617,0.7037136907451217,-40.60425338189387
periodic_coupled,2,iqp_d2,-0.0833333333333333,0.5833333333333334,19.55485524689189,22.20797377885929,5.364013656190617,0.880533066258705,-40.60425338189387
periodic_coupled,2,iqp_d3,-0.1666666666666666,0.5833333333333334,23.74705050192481,22.20797377885929,5.364013656190617,1.0693028881604063,-72.60425338189387
periodic_coupled,2,var_d2_e1,-0.0555555555555555,0.5833333333333334,7.443057179654936,22.20797377885929,5.364013656190617,0.3351524661263918,-10.60425338189387
periodic_coupled,2,var_d2_e03,0.111111111111111,0.5833333333333334,5.313670220074192,22.20797377885929,5.364013656190617,0.23926857411604563,81.89574661810613
periodic_coupled,2,var_d3_e1,-0.0555555555555555,0.5833333333333334,11.034160361885265,22.20797377885929,5.364013656190617,0.4968557902562524,-10.60425338189387
periodic_coupled,2,highd_d2_f15,-0.0555555555555555,0.5833333333333334,46.73477065715284,22.20797377885929,5.364013656190617,2.104413987630049,-10.60425338189387
periodic_coupled,2,highd_d2_f30,-0.0555555555555555,0.5833333333333334,57.16237991369617,22.20797377885929,5.364013656190617,2.573957466039133,-10.60425338189387
periodic_coupled,2,highd_d3_f15,-0.0555555555555555,0.5833333333333334,46.73477065715287,22.20797377885929,5.364013656190617,2.1044139876300503,-10.60425338189387
cross_high,0,angle_d1,-0.2222222222222222,0.8888888888888888,9.979267987940824,21.708089175637376,5.346786551886293,0.45970273602618095,-31.291493236212318
cross_high,0,angle_d2,-0.2222222222222222,0.8888888888888888,9.979267987940824,21.708089175637376,5.346786551886293,0.45970273602618095,-31.291493236212318
cross_high,0,angle_d3,-0.2222222222222222,0.8888888888888888,9.979267987940824,21.708089175637376,5.346786551886293,0.45970273602618095,-31.291493236212318
